sim_time_sec,system_state,box_count,avg_cycle_time_sec,jam_count,throughput_per_hour,fault_message
773.06,2,15,8.75,1,70.3,
778.08,2,15,8.75,1,69.9,
783.47,2,15,8.75,1,69.4,
788.94,2,15,8.75,1,68.9,
794.43,2,15,8.75,1,68.4,
799.94,2,15,8.75,1,67.9,
805.11,2,16,8.50,1,72.0,
810.12,2,16,8.50,1,71.5,
815.60,2,16,8.50,1,71.1,
820.65,2,16,8.50,1,70.6,
825.95,2,16,8.50,1,70.2,
831.46,2,16,8.50,1,69.7,
836.96,2,16,8.50,1,69.2,
842.08,2,16,8.50,1,68.8,
847.41,2,16,8.50,1,68.4,
852.91,2,17,8.28,1,72.2,
858.41,2,17,8.28,1,71.7,
863.92,2,17,8.28,1,71.3,
869.10,2,17,8.28,1,70.8,
874.34,2,17,8.28,1,70.4,
879.65,2,17,8.28,1,70.0,
885.16,2,17,8.28,1,69.5,
890.33,2,17,8.28,1,69.1,
895.61,2,17,8.28,1,68.7,
900.93,2,17,8.28,1,68.3,
